what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677271722
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677287555
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1499677290575
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677294194
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677301803
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499677314812
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499677317313
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1499677321475
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499677322754
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677328313
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677333859
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1499677336735
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Resume,1499677337784
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677339712
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677342026
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677343533
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677407563
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499677432078
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499677436472
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499677442588
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499677445746
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677446838
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677459998
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677468361
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499677481384
